//name	direction	type	clock	bits	default	interface	indexed	buffer	
CPLLREFCLKSEL	in	0		3	3'b1				
GTGREFCLK	in	0		1					
GTNORTHREFCLK0	in	0		1					
GTNORTHREFCLK1	in	0		1					
GTREFCLK0	in	0		1					
GTREFCLK1	in	0		1					
GTSOUTHREFCLK0	in	0		1					
GTSOUTHREFCLK1	in	0		1					
QPLL0CLK	in	c		1			y		
QPLL1CLK	in	c		1			y		
QPLL0REFCLK	in	c		1			y		
QPLL1REFCLK	in	c		1			y		
RXSYSCLKSEL	in	s		2			y		
TXSYSCLKSEL	in	s		2			y		
TXPLLCLKSEL	in	s		2			y		
RXPLLCLKSEL	in	s		2			y		
GTREFCLKMONITOR	out	0		1					
CPLLLOCKDETCLK	in	c		1					
CPLLLOCKEN	in	0		1	1'b1				
CPLLPD	in	s		1			y		
CPLLREFCLKSEL	in	0		3	3'b1				
CPLLRESET	in	0		1					
CPLLFBCLKLOST	out	s		1			y		
CPLLLOCK	out	s		1			y		
CPLLREFCLKLOST	out	s		1			y		
GTRESETSEL	in	s		1			y		
RESETOVRD	in	0		1					
GTTXRESETSEL	in	s		1			y		
GTRXRESETSEL	in	s		1			y		
GTTXRESET	in	s		1			y		
TXPMARESET	in	s		1			y		
TXPCSRESET	in	s		1			y		
TXUSERRDY	in	s		1			y		
TXRESETDONE	out	s	TXUSRCLK2	1			y		
CFGRESET	in	s		1					
TXPMARESETDONE	out	s		1			y		
PCSRSVDOUT	out	0		1					
RESETEXCEPTION	out	0		1					
GTPOWERGOOD	out	s		1			y		
TXDCCDONE	out	0		1					
TXDCCFORCESTART	out	0		1					
TXDCCRESET	out	0		1					
GTRXRESET	in	s		1			y		
RXOSCALRESET	in	s		1			y		
RSOSINTDONE	out	0		1					
RXPMARESET	in	s		1			y		
RXCDRRESET	in	0		1					
RXCDRFREQRESET	in	0		1					
RXDFELPMRESET	in	s		1			y		
EYESCANRESET	in	s		1			y		
RXPCSRESET	in	s		1			y		
RXBUFRESET	in	s		1			y		
RXUSERRDY	in	s		1			y		
RXRESETDONE	out	s		1			y		
RXPMARESETDONE	out	s		1			y		
RXOOBRESET	in	0		1					
RESETEXCEPTION	out	0		1					
GTPOWERGOOD	out	s		1			y		
RXCKCALDONE	out	0		1					
RXCKCALRESET	in	0		1					
RXCKCALSTART	in	0		7					
RXPD	in	s		2	2'b11		y		
TXPD	in	s		2	2'b11		y		
TXPDELECIDLEMODE	in	0		1					
TXPHDLYPD	in	0		1					
RXPHDLYPD	in	0		1					
LOOPBACK	in	s		3			y		
DRPADDR	in	drp	DRPCLK	10		drp			
DRPCLK	in	drp		1					
DRPDI	in	drp	DRPCLK	32		drp			
DRPDO	out	drp	DRPCLK	32		drp	y		
DRPEN	in	drp	DRPCLK	1		drp			
DRPRDY	out	drp	DRPCLK	1		drp	y		
DRPWE	in	drp	DRPCLK	1		drp			
DRPRST	in	s		1					
DMONITOROUT	out	s		16			y		
DMONITORCLK	in	c		1					
DMONFIFORESET	in	s	DMONITORCLK	1					
DMONITOROUTCLK	out	s		1			y		
TXCTRL0	in	d	TXUSRCLK2	16		mgt_tx	y		
TXCTRL1	in	d	TXUSRCLK2	16		mgt_tx	y		
TXCTRL2	in	d	TXUSRCLK2	8		mgt_tx	y		
TXDATA	in	d	TXUSRCLK2	128		mgt_tx	y		
TXDATAEXTENDRSVD	in	0		1					
TXUSRCLK	in	c		1			y		
TXUSRCLK2	in	c		1			y		
TX8B10BBYPASS	in	s	TXUSRCLK2	8			y		
TX8B10BEN	in	s	TXUSRCLK2	1			y		
TXHEADER	in	d	TXUSRCLK2	6		mgt_tx	y		
TXSEQUENCE	in	d	TXUSRCLK2	7		mgt_tx	y		
TXBUFSTATUS	out	s	TXUSRCLK2	2			y		
TXLATCLK	in	c		1					
TXBUFSTATUS	out	d	TXUSRCLK2	2			y		
TXPHDLYRESET	in	s		1					
TXPHALIGN	in	s		1					
TXPHALIGNEN	in	s		1					
TXPHDLYPD	in	s		1					
TXPHINIT	in	0		1	wiz				
TXPHOVRDEN	in	s		1					
TXDLYSRESET	in	s		1					
TXDLYBYPASS	in	s		1					
TXDLYEN	in	s		1					
TXDLYOVRDEN	in	s		1					
TXPHDLYTSTCLK	in	0		1	wiz				
TXDLYHOLD	in	0		1	wiz				
TXDLYUPDOWN	in	0		1	wiz				
TXPHALIGNDONE	out	s		1			y		
TXPHINITDONE	out	s		1			y		
