//Address	bits	rw	Name	att_bits	att_enc	bin_enc	
0008	15:0	R/W	QPLL0_CFG0	15:0	0-65535	0-65535	
0009	15:0	R/W	COMMON_CFG0	15:0	0-65535	0-65535	
000B	15:0	R/W	RSVD_ATTR0	15:0	0-65535	0-65535	
000D	15:0	R/W	PPF0_CFG	15:0	0-65535	0-65535	
000E	0	R/W	QPLL0CLKOUT_RATE	0	HALF	0	
					FULL	1	
0010	15:0	R/W	QPLL0_CFG1	15:0	0-65535	0-65535	
0011	15:0	R/W	QPLL0_CFG2	15:0	0-65535	0-65535	
0012	15:0	R/W	QPLL0_LOCK_CFG	15:0	0-65535	0-65535	
0013	15:0	R/W	QPLL0_INIT_CFG0	15:0	0-65535	0-65535	
0014	15:8	R/W	QPLL0_INIT_CFG1	7:0	0-255	0-255	
0089	15:0	R/W	COMMON_CFG1	15:0	0-65535	0-65535	
008B	15:0	R/W	POR_CFG	15:0	0-65535	0-65535	
008D	15:0	R/W	PPF1_CFG	15:0	0-65535	0-65535	
008E	0	R/W	QPLL1CLKOUT_RATE	0	HALF	0	
					FULL	1	
							
							
008F	15:0	R/W	BIAS_CFG_RSVD	15:0	0-65535	0-65535	
0090	15:0	R/W	QPLL1_CFG1	15:0	0-65535	0-65535	
0091	15:0	R/W	QPLL1_CFG2	15:0	0-65535	0-65535	
0092	15:0	R/W	QPLL1_LOCK_CFG	15:0	0-65535	0-65535	
0093	15:0	R/W	QPLL1_INIT_CFG0	15:0	0-65535	0-65535	
0094	15:8	R/W	QPLL1_INIT_CFG1	7:0	0-255	0-255	
							
0094	7:0	R/W	QPLL1_FBDIV	7:0	16	14	
					17	15	
					18	16	
					19	17	
					20	18	
					21	19	
					22	20	
							
							
0094	7:0	R/W	QPLL1_FBDIV	7:0	23	21	
					24	22	
					25	23	
					26	24	
					27	25	
					28	26	
					29	27	
					30	28	
					31	29	
					32	30	
					33	31	
					34	32	
					35	33	
					36	34	
					37	35	
					38	36	
					39	37	
					40	38	
					41	39	
					42	40	
					43	41	
					44	42	
					45	43	
					46	44	
					47	45	
					48	46	
					49	47	
					50	48	
					51	49	
					52	50	
					53	51	
					54	52	
					55	53	
					56	54	
					57	55	
					58	56	
					59	57	
					60	58	
					61	59	
					62	60	
					63	61	
					64	62	
					65	63	
					66	64	
					67	65	
					68	66	
					69	67	
					70	68	
					71	69	
					72	70	
					73	71	
					74	72	
					75	73	
					76	74	
					77	75	
					78	76	
					79	77	
					80	78	
					81	79	
					82	80	
					83	81	
					84	82	
					85	83	
					86	84	
					87	85	
					88	86	
					89	87	
					90	88	
					91	89	
					92	90	
					93	91	
					94	92	
					95	93	
					96	94	
					97	95	
					98	96	
					99	97	
					100	98	
					101	99	
					102	100	
					103	101	
					104	102	
					105	103	
					106	104	
					107	105	
					108	106	
					109	107	
					110	108	
					111	109	
					112	110	
					113	111	
					114	112	
					115	113	
					116	114	
					117	115	
					118	116	
					119	117	
					120	118	
					121	119	
					122	120	
					123	121	
					124	122	
					125	123	
					126	124	
					127	125	
					128	126	
					129	127	
					130	128	
					131	129	
					132	130	
					133	131	
					134	132	
					135	133	
					136	134	
					137	135	
					138	136	
					139	137	
					140	138	
					141	139	
					142	140	
					143	141	
					144	142	
					145	143	
					146	144	
					147	145	
					148	146	
					149	147	
					150	148	
					151	149	
					152	150	
					153	151	
					154	152	
					155	153	
					156	154	
					157	155	
					158	156	
					159	157	
					160	158	
							
							
0095	15:0	R/W	QPLL1_CFG3	15:0	0-65535	0-65535	
0096	9:0	R/W	QPLL1_CP	9:0	0-1023	0-1023	
							
0098	11:7	R/W	QPLL1_REFCLK_DIV	4:0	2	0	
					3	1	
					4	2	
					5	3	
					6	5	
					8	6	
					10	7	
					12	13	
					16	14	
					20	15	
					1	16	
							
							
0098	5:3	R/W	QPLL1_IPS_REFCLK_SEL	2:0	0-7	0-7	
0098	12	R/W	SARC_EN	0	0-1	0-1	
0098	6	R/W	QPLL1_IPS_EN	0	0-1	0-1	
0098	13	R/W	SARC_SEL	0	0-1	0-1	
0099	9:0	R/W	QPLL1_LPF	9:0	0-1024	0-1024	
009A	15:0	R/W	QPLL1_CFG1_G3	15:0	0-65535	0-65535	
009B	15:0	R/W	QPLL1_CFG2_G3	15:0	0-65535	0-65535	
009C	9:0	R/W	QPLL1_LPF_G3	9:0	0-1023	0-1023	
009D	15:0	R/W	QPLL1_LOCK_CFG_G3	15:0	0-65535	0-65535	
009E	15:0	R/W	RSVD_ATTR2	15:0	0-65535	0-65535	
009F	15:8	R/W	QPLL1_FBDIV_G3	7:0	16	14	
					17	15	
					18	16	
					19	17	
					20	18	
					21	19	
					22	20	
					23	21	
					24	22	
					25	23	
					26	24	
					27	25	
					28	26	
					29	27	
					30	28	
					31	29	
					32	30	
					33	31	
					34	32	
					35	33	
					36	34	
					37	35	
					38	36	
					39	37	
					40	38	
					41	39	
					42	40	
					43	41	
					44	42	
					45	43	
					46	44	
					47	45	
					48	46	
					49	47	
					50	48	
					51	49	
					52	50	
					53	51	
					54	52	
					55	53	
					56	54	
					57	55	
					58	56	
					59	57	
					60	58	
					61	59	
					62	60	
					63	61	
					64	62	
					65	63	
					66	64	
					67	65	
					68	66	
					69	67	
					70	68	
					71	69	
					72	70	
					73	71	
					74	72	
					75	73	
					76	74	
					77	75	
					78	76	
					79	77	
					80	78	
					81	79	
					82	80	
					83	81	
					84	82	
					85	83	
					86	84	
					87	85	
					88	86	
					89	87	
					90	88	
					91	89	
					92	90	
					93	91	
					94	92	
					95	93	
					96	94	
					97	95	
					98	96	
					99	97	
					100	98	
					101	99	
					102	100	
					103	101	
					104	102	
					105	103	
					106	104	
					107	105	
					108	106	
					109	107	
					110	108	
					111	109	
					112	110	
					113	111	
					114	112	
					115	113	
					116	114	
					117	115	
					118	116	
					119	117	
					120	118	
					121	119	
					122	120	
					123	121	
					124	122	
					125	123	
					126	124	
					127	125	
					128	126	
					129	127	
					130	128	
					131	129	
					132	130	
					133	131	
					134	132	
					135	133	
					136	134	
					137	135	
					138	136	
					139	137	
					140	138	
					141	139	
					142	140	
					143	141	
					144	142	
					145	143	
					146	144	
					147	145	
					148	146	
					149	147	
					150	148	
					151	149	
					152	150	
					153	151	
					154	152	
					155	153	
					156	154	
					157	155	
					158	156	
					159	157	
					160	158	
							
							
009F	3	R/W	QPLL1_RATE_SW_USE_DRP	0	0-1	0-1	
009F	2	R/W	QPLL1_PCI_EN	0	0-1	0-1	
009F	1:0	R/W	RXRECCLKOUT1_SEL	1:0	0-3	0-3	
00A0	15:0	R/W	QPLL1_SDM_CFG0	15:0	0-65535	0-65535	
00A1	15:0	R/W	QPLL1_SDM_CFG1	15:0	0-65535	0-65535	
00A2	15:0	R/W	SDM1INITSEED0_0	15:0	0-65535	0-65535	
00A3	8:0	R/W	SDM1INITSEED0_1	8:0	0-511	0-511	
00A4	15:0	R/W	QPLL1_SDM_CFG2	15:0	0-65535	0-65535	
00A5	9:0	R/W	QPLL1_CP_G3	9:0	0-1023	0-1023	
00AD	15:0	R/W	RSVD_ATTR3	15:0	0-65535	0-65535	
00B0	15:0	R/W	QPLL1_CFG4	15:0	0-65535	0-65535	
