// base	ch	sel	offset	address hex	length (bytes, hex)	mask	read	write	description	station	chID	Chamber	Suggested parameter name	
0			0	00000000	40000	ffffffffffffffff	1	1	loopback memory area				lb_memory	
														
0			c	0000000C	4	ffffffff	0	1	external PLL configuration word				ext_pll_config_word	
0			c	0000000C	4	0000ffff	1	0	PLL unlock counter				ext_pll_unlock_cnt	
0			c	0000000C	4	00010000	1	0	PLL lock status				ext_pll_lock	
0			c	0000000C	4	00020000	1	0	PLL hold status				ext_pll_hold	
0			c	0000000C	4	00040000	1	0	PLL loss of signal				ext_pll_los	
0			c	0000000C	4	fff80000	1	0	Hard Reset counter value				hard_reset_cnt	
														
0			10	00000010	4	00000001	0	1	generate internal L1A				gen_int_l1a	
0			10	00000010	4	00000fff	1	0	BC0 period counter value				bc0_period_cnt	
0			10	00000010	4	fffff000	1	0	Resync counter value				resync_cnt	
0			14	00000014	4	ffffffff	1	0	LHC clock counter				lhc_clk_cnt	
0			18	00000018	4	ffffffff	1	0	PLL clock counter				ext_pll_clk_cnt	
														
0			1c	0000001C	4	0000003f	1	0	Control FPGA Firmware timestamp, sec				ctl_fpga_fw_sec	
0			1c	0000001C	4	00000fc0	1	0	Control FPGA Firmware timestamp, min 				ctl_fpga_fw_min	
0			1c	0000001C	4	0001f000	1	0	Control FPGA Firmware timestamp, hour 				ctl_fpga_fw_hour	
0			1c	0000001C	4	007e0000	1	0	Control FPGA Firmware timestamp, year (add 2000) 				ctl_fpga_fw_year	
0			1c	0000001C	4	07800000	1	0	Control FPGA Firmware timestamp, month 				ctl_fpga_fw_month	
0			1c	0000001C	4	f8000000	1	0	Control FPGA Firmware timestamp, day 				ctl_fpga_fw_day	
														
20			0	00000020	4	00000000	0	1	Flash timer reset				flash_timer_rst	
20			0	00000020	4	ffffffff	1	0	hardcoded 0xbabeface				flash_babeface	
20			4	00000024	4	07ffffff	1	1	Flash address				flash_address	
20			8	00000028	4	0000ffff	1	1	Flash data				flash_data	
20			c	0000002C	4	00000001	1	1	Core FPGA configuration start				flash_core_config_start	
20			c	0000002C	4	00000004	0	1	Core FPGA unconfigure				flash_core_unconfig	
20			c	0000002C	4	00000002	1	0	Core FPGA INIT signal				flash_core_init	
20			c	0000002C	4	00000004	1	0	Core FPGA DONE signal				flash_core_done	
20			c	0000002C	4	00000008	1	0	Core FPGA config state machine completed				flash_core_config_sm_completed	
20			10	00000030	4	07ffffff	1	0	Core FPGA firmware start address in Flash				flash_core_fw_start	
20			14	00000034	4	07ffffff	1	0	Control FPGA firmware start address in Flash				flash_cnt_fw_start	
20			18	00000038	4	0000000f	1	0	Core FPGA config state machine state				flash_core_config_sm_state	
20			18	00000038	4	ffffffff	0	1	ICAP write word, used to reconfigure Control FPGA				flash_icap_word	
														
40			14	00000054	4	00000001	0	1	Core link reset				core_link_rst	
														
80000	0	0	0	00080000	30	0000000000001fff	1	1	Primitive converter parameters	1a	01	ME1a/01	prim_conv_params_me1a_01	
80000	0	1	0	00080400	400	000000000000003f	1	1	Primitive converter theta LUT	1a	01	ME1a/01	prim_conv_th_lut_me1a_01	
